slug,venue,title,github_repo,all_github_repos,repo_status
FUaDMRVrbS,ICLR 2025 Poster,Identifiability for Gaussian Processes with Holomorphic Kernels,https://github.com/Ameer-eng/iclr2025-simulation,https://github.com/Ameer-eng/iclr2025-simulation,live
FXw0okNcOb,ICLR 2025 Poster,Discrete Copula Diffusion,https://github.com/liuanji/Copula-Diffusion,https://github.com/liuanji/Copula-Diffusion;https://github.com/xhan77/ssd-lm;https://github.com/ngruver/NOS;https://github.com/karpathy/nanoGPT,live
Fj7Fzm5lWL,ICLR 2024 poster,Let's do the time-warp-attend: Learning topological invariants of dynamical systems,https://github.com/nitzanlab/time-warp-attend,https://github.com/nitzanlab/time-warp-attend;https://github.com/karpathy/pytorch-normalizing-flows;https://github.com/zaman13/Vector-Field-Topolgy-2D;https://github.com/nitzanlab/phase2vec,live
G328D1xt4W,ICLR 2025 Poster,Fine-Tuning Discrete Diffusion Models via Reward Optimization with Applications to DNA and Protein Design,https://github.com/ChenyuWang-Monica/DRAKES,https://github.com/ChenyuWang-Monica/DRAKES;https://github.com/Nkluge-correa/Aira,live
G9UhQEZHjY,ICLR 2026 Poster,NC-Bench and NCfold: A Benchmark and Closed-Loop Framework for RNA Non-Canonical Base-Pair Prediction,https://github.com/heqin-zhu/NCBench,https://github.com/heqin-zhu/NCBench,live
GZ7gwOZ6Or,ICML 2025 poster,Protriever: End-to-End Differentiable Protein Homology Search for Fitness Prediction,https://github.com/OATML-Markslab/Protriever,https://github.com/OATML-Markslab/Protriever,live
HAwZGLcye3,ICLR 2025 Poster,BioDiscoveryAgent: An AI Agent for Designing Genetic Perturbation Experiments,https://github.com/Significant-Gravitas/Auto-GPT,https://github.com/Significant-Gravitas/Auto-GPT;https://github.com/gijswobben/pymed;https://github.com/snap-stanford/BioDiscoveryAgent,live
HV8vZDDoYc,ICML 2025 poster,"PyTDC: A multimodal machine learning training, evaluation, and inference platform for biomedical foundation models",https://github.com/apliko-xyz/PyTDC,https://github.com/apliko-xyz/PyTDC;https://github.com/amva13/pinnacle_benchmark;https://github.com/amva13/pinnacle,live
Hk4Fb6kaYF,ICLR 2026 Poster,CDBridge: A Cross-omics Post-training Bridge Strategy for Context-aware Biological Modeling,,,
HsHxSN23rM,ICLR 2025 Oral,STAR: Synthesis of Tailored Architectures,,,
I43IOiimO6,ICLR 2026 Poster,CARL: Preserving Causal Structure in Representation Learning,,,
I4meJN28Ol,ICLR 2026 Poster,CellDuality: Unlocking Biological Reasoning in LLMs with Self-Supervised RLVR,,,
IjbXZdugdj,ICLR 2025 Poster,"Bio-xLSTM: Generative modeling, representation and in-context learning of biological and chemical sequences",https://github.com/ml-jku/DNA-xLSTM,https://github.com/ml-jku/DNA-xLSTM;https://github.com/ml-jku/Prot-xLSTM;https://github.com/ml-jku/Chem-xLSTM;https://github.com/OATML-Markslab/ProteinGym,live
KXrgDM3mVD,ICLR 2025 Poster,Distilling Structural Representations into Protein Sequence Models,https://github.com/jozhang97/ISM,https://github.com/jozhang97/ISM,live
MDAg5Q7IsI,ICML 2024 Poster,Predicting Dose-Response Curves with Deep Neural Networks,https://github.com/alonsocampana/ARCANet,https://github.com/alonsocampana/ARCANet;https://github.com/CancerRxGene/gdscIC50,live
MMHqnUOnl0,ICLR 2025 Poster,HELM: Hierarchical Encoding for mRNA Language Modeling,,,
MRmI68k3gd,ICML 2025 poster,Wasserstein Flow Matching: Generative Modeling Over Families of Distributions,https://github.com/DoronHav/WassersteinFlowMatching,https://github.com/DoronHav/WassersteinFlowMatching,live
Mfnh1Sqdwf,ICLR 2025 Oral,Learning to Discover Regulatory Elements for Gene Expression Prediction,https://github.com/divelab/AIRS,https://github.com/divelab/AIRS,live
MikandLqtW,ICML 2024 Poster,Knowledge-aware Reinforced Language Models for Protein Directed Evolution,https://github.com/HICAI-ZJU/KnowRLM,https://github.com/HICAI-ZJU/KnowRLM,live
NFffW9tBmC,ICLR 2026 Poster,Iterative Distillation for Reward-Guided Fine-Tuning of Diffusion Models in Biomolecular Design,https://github.com/microsoft/evodiff,https://github.com/microsoft/evodiff;https://github.com/sjgosai/boda2,live
NNnkLi1ALt,ICLR 2026 Poster,Intrinsic Lorentz Neural Network,https://github.com/Longchentong/ILNN,https://github.com/Longchentong/ILNN,live
NUAbSFqyqb,ICML 2024 Poster,Diffusion Language Models Are Versatile Protein Learners,https://github.com/OpenLMLab/MOSS,https://github.com/OpenLMLab/MOSS;https://github.com/tatsu-lab/stanford_alpaca;https://github.com/Significant-Gravitas/Auto-GPT,live
NjgaeXNit3,ICLR 2026 Poster,Divide and Abstract: Autoformalization via Decomposition and Abstraction Learning,https://github.com/marcusm117/DNA,https://github.com/marcusm117/DNA;https://github.com/rahul3613/ProofNet-lean4,live
NkGDNM8LB0,ICLR 2025 Poster,Hyperbolic Genome Embeddings,https://github.com/rrkhan/HGE,https://github.com/rrkhan/HGE,live
OERwuPzHdh,ICML 2024 Poster,DNA-SE: Towards Deep Neural-Nets Assisted Semiparametric Estimation,https://github.com/liuqs111/DNA-SE,https://github.com/liuqs111/DNA-SE,live
OwLl8Xi6JG,ICLR 2026 Poster,A Resolution-Agnostic Geometric Transformer for Chromosome Modeling Using Inertial Frame,https://github.com/yize1203/InertialGenome,https://github.com/yize1203/InertialGenome,live
P15CHILQlg,ICLR 2024 oral,Learning Energy Decompositions for Partial Inference in GFlowNets,,,
PSiijdQjNU,ICLR 2025 Oral,Steering Protein Family Design through Profile Bayesian Flow,,,
QSGanMEcUV,ICLR 2026 Poster,scDFM: Distributional Flow Matching Model for Robust Single-Cell Perturbation Prediction,https://github.com/AI4Science-WestlakeU/scDFM,https://github.com/AI4Science-WestlakeU/scDFM;https://github.com/ArcInstitute/cell-eval,live
QaTBHSqmH9,ICLR 2025 Poster,Size-Generalizable RNA Structure Evaluation by Exploring Hierarchical Geometries,,,
RemfXx7ebP,ICLR 2024 poster,RDesign: Hierarchical Data-efficient Representation Learning for Tertiary Structure-based RNA Design,https://github.com/A4Bio/RDesign,https://github.com/A4Bio/RDesign,live
Su0qe33cWA,ICML 2024 Poster,Wasserstein Wormhole: Scalable Optimal Transport Distance with Transformer,https://github.com/DoronHav/jax_dwe,https://github.com/DoronHav/jax_dwe,live
TUKt7ag0qq,ICLR 2025 Poster,Metalic: Meta-Learning In-Context with Protein Language Models,https://github.com/instadeepai/metalic,https://github.com/instadeepai/metalic,live
Tqdsruwyac,ICLR 2025 Poster,Estimation of single-cell and tissue perturbation effect in spatial transcriptomics via Spatial Causal Disentanglement,,,
UIxHaAqFqQ,ICLR 2026 Oral,LLM DNA: Tracing Model Evolution via Functional Representations,https://github.com/Xtra-Computing/LLM-DNA,https://github.com/Xtra-Computing/LLM-DNA,live
UoYdZQIZWj,ICLR 2026 Poster,KGOT: Unified Knowledge Graph and Optimal Transport Pseudo-Labeling for Molecule-Protein Interaction Prediction,,,
UvPdpa4LuV,ICLR 2025 Poster,Protein Language Model Fitness is a Matter of Preference,,,
WBN0Mz3VAC,ICML 2025 poster,KinDEL: DNA-Encoded Library Dataset for Kinase Inhibitors,https://github.com/insitro/kindel,https://github.com/insitro/kindel,live
WwmtcGr4lP,ICLR 2025 Poster,GANDALF: Generative AttentioN based Data Augmentation and predictive modeLing Framework for personalized cancer treatment,https://github.com/ajayago/GANDALF,https://github.com/ajayago/GANDALF,live
XGGcnKelda,ICML 2024 Poster,Enforcing Constraints in RNA Secondary Structure Predictions: A Post-Processing Framework Based on the Assignment Problem,https://github.com/KangSeokjun/RNASecondaryStructure,https://github.com/KangSeokjun/RNASecondaryStructure,live
Xlayxj2fWp,ICLR 2024 poster,DNA-GPT: Divergent N-Gram Analysis for Training-Free Detection of GPT-Generated Text,https://github.com/Xianjun-Yang/DNA-GPT,https://github.com/Xianjun-Yang/DNA-GPT,live
XsgHl54yO7,ICLR 2025 Poster,Unlocking Guidance for Discrete State-Space Diffusion and Flow Models,https://github.com/andrew-cr/tauLDR,https://github.com/andrew-cr/tauLDR;https://github.com/w86763777/pytorch-gan-metrics;https://github.com/HannesStark/dirichlet-flow-matching;https://github.com/dauparas/ProteinMPNN;https://github.com/hnisonoff/discrete_guidance;https://github.com/hnisonoff/discrete;https://github.com/andrew-cr/discrete_flow_models;https://github.com/andrew-cr/discrete;https://github.com/chembl/ChEMBL_Structure_Pipeline;https://github.com/chembl/ChEMBL,live
Y0zPlHDO5p,ICLR 2026 Poster,AntigenLM: Structure-Aware DNA Language Modeling for Influenza,https://github.com/Moonn1205/AntigenLM,https://github.com/Moonn1205/AntigenLM,live
Y7xCdFuFw7,ICLR 2026 Poster,HeurekaBench: A Benchmarking Framework for AI Co-scientist,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain;https://github.com/mlbio-epfl/HeurekaBench;https://github.com/mlbio-epfl/heurekabench,live
aX7X9z3vQS,ICLR 2025 Spotlight,Recovering Manifold Structure Using Ollivier Ricci Curvature,https://github.com/TristanSaidi/orcml,https://github.com/TristanSaidi/orcml,live
afnyJfQddk,ICML 2024 Poster,Gaussian Processes on Cellular Complexes,https://github.com/google/jax,https://github.com/google/jax,live
bcTjW5kS4W,ICLR 2025 Spotlight,NetFormer: An interpretable model for recovering dynamical connectivity in neuronal population dynamics,https://github.com/FieteLab/neural-circuit-inference,https://github.com/FieteLab/neural-circuit-inference;https://github.com/arthur-pe/LtrRNN;https://github.com/NeuroAIHub/NetFormer;https://github.com/lindermanlab/ssm,live
cpc63YrVWN,ICLR 2026 Poster,A Joint Diffusion Model with Pre-Trained Priors for RNA Sequence-Structure Co-Design,https://github.com/pylelab/rMSA,https://github.com/pylelab/rMSA,live
dWxb80a0TW,ICML 2024 Poster,Generalist Equivariant Transformer Towards 3D Molecular Interaction Learning,https://github.com/THUNLP-MT/GET,https://github.com/THUNLP-MT/GET;https://github.com/lucidrains/equiformer-pytorch,live
dsHpulHpOK,ICLR 2025 Spotlight,Reinforcement Learning for Control of Non-Markovian Cellular Population Dynamics,https://github.com/JacobHA/RL4Dosing,https://github.com/JacobHA/RL4Dosing,live
gFR4QwK53h,ICLR 2024 oral,Gene Regulatory Network Inference in the Presence of Dropouts: a Causal View,https://github.com/MarkDana/scRNA-Causal-Dropout,https://github.com/MarkDana/scRNA-Causal-Dropout;https://github.com/py-why/causal-learn;https://github.com/juangamella/ges;https://github.com/cmu-phil/tetrad,live
gQlxd3Mtru,ICLR 2025 Oral,Learning stochastic dynamics from snapshots through regularized unbalanced optimal transport,https://github.com/zhenyiizhang/DeepRUOT,https://github.com/zhenyiizhang/DeepRUOT,live
h9b5h69v3p,ICLR 2026 Poster,Discrete Diffusion Trajectory Alignment via Stepwise Decomposition,https://github.com/hanjq17/discrete-diffusion-sdpo,https://github.com/hanjq17/discrete-diffusion-sdpo;https://github.com/tatsu-lab/alpaca_eval,live
hWmwL9gizZ,ICLR 2025 Poster,Immunogenicity Prediction with Dual Attention Enables Vaccine Target Selection,https://github.com/songleee/VenusVaccine,https://github.com/songleee/VenusVaccine,live
hhq89Hs7T3,ICLR 2026 Poster,VCWorld: A Biological World Model for Virtual Cell Simulation,https://github.com/GENTEL-lab/VCWorld,https://github.com/GENTEL-lab/VCWorld;https://github.com/theislab/cpa;https://github.com/scverse/scvi-tools;https://github.com/ArcInstitute/state,live
hjROBHstZ3,ICLR 2025 Poster,Causal Representation Learning from Multimodal Biomedical Observations,,,
hwnObmOTrV,ICLR 2025 Spotlight,Modeling Complex System Dynamics with Flow Matching Across Time and Conditions,https://github.com/Genentech/MMFM,https://github.com/Genentech/MMFM,live
iAmR7FfMmq,ICLR 2025 Poster,Improving Graph Neural Networks by Learning Continuous Edge Directions,https://github.com/hormoz-lab/coed-gnn,https://github.com/hormoz-lab/coed-gnn,live
itGkF993gz,ICLR 2024 spotlight,MAPE-PPI: Towards Effective and Efficient Protein-Protein Interaction Prediction via Microenvironment-Aware Protein Embedding,https://github.com/LirongWu/MAPE-PPI,https://github.com/LirongWu/MAPE-PPI,live
jE5ZbtMtcU,ICLR 2025 Poster,BLEND: Behavior-guided Neural Population Dynamics Modeling via Privileged Knowledge Distillation,https://github.com/dddavid4real/BLEND,https://github.com/dddavid4real/BLEND;https://github.com/neurallatents/nlb_tools;https://github.com/snel-repo/neural-data-transformers;https://github.com/lumimim/NeuPRINT,live
jJCeMiwHdH,ICLR 2024 poster,BioBridge: Bridging Biomedical Foundation Models via Knowledge Graphs,https://github.com/RyanWangZf/BioBridge,https://github.com/RyanWangZf/BioBridge;https://github.com/gnn4dr/DRKG,live
ja4rpheN2n,ICLR 2025 Oral,GeSubNet: Gene Interaction Inference for Disease Subtype Network Generation,https://github.com/chenzRG/GeSubNet,https://github.com/chenzRG/GeSubNet,live
jlzNb1iWs3,ICLR 2025 Poster,The OMG dataset: An Open MetaGenomic corpus for mixed-modality genomic language modeling,https://github.com/TattaBio/OMG,https://github.com/TattaBio/OMG,live
jrFJWpDZvq,ICLR 2026 Poster,DeepSADR: Deep Transfer Learning with Subsequence Interaction and Adaptive Readout for Cancer Drug Response Prediction,https://github.com/ZYPssss/DeepSADR,https://github.com/ZYPssss/DeepSADR,live
jxvqvZLBuU,ICML 2024 Poster,RNAFlow: RNA Structure & Sequence Design via Inverse Folding-Based Flow Matching,https://github.com/divnori/rnaflow,https://github.com/divnori/rnaflow,live
l7QEoK4uDP,ICLR 2026 Poster,SAVE: A Generalizable Framework for Multi-Condition Single-Cell Generation with Gene Block Attention,https://github.com/fdu-wangfeilab/sc-save,https://github.com/fdu-wangfeilab/sc-save;https://github.com/theislab/scgen-reproducibility;https://github.com/YosefLab/scVI-data,live
lAlI5FuIf7,ICLR 2026 Oral,Planner Aware Path Learning in Diffusion Language Models Training,https://github.com/pengzhangzhi/PAPL,https://github.com/pengzhangzhi/PAPL;https://github.com/pengzhangzhi/Open-dLLM;https://github.com/bytedance/dplm,live
lDyS4Qg5Ww,ICLR 2026 Poster,RIDER: 3D RNA Inverse Design with Reinforcement Learning-Guided Diffusion,https://github.com/COLA-Laboratory/RIDER,https://github.com/COLA-Laboratory/RIDER,live
lK82jpa8jr,ICLR 2026 Poster,HEIST: A Graph Foundation Model for Spatial Transcriptomics and Proteomics Data,https://github.com/Graph-and-Geometric-Learning/HEIST,https://github.com/Graph-and-Geometric-Learning/HEIST,live
lvw3UgeVxS,ICLR 2025 Spotlight,gRNAde: Geometric Deep Learning for 3D RNA inverse design,https://github.com/A4Bio/RDesign,https://github.com/A4Bio/RDesign;https://github.com/chaitjo/geometric-rna-design,live
m18MXVdrV9,ICLR 2026 Poster,Information Estimation with Discrete Diffusion,https://github.com/AlbertoForesti/mutinfo-diffusion,https://github.com/AlbertoForesti/mutinfo-diffusion,live
m38vyzeoO0,ICLR 2026 Poster,Inheriting Generalizable Knowledge from LLMs to Diverse Vertical Tasks,https://github.com/databrickslabs/dolly,https://github.com/databrickslabs/dolly,live
m826DekCpp,ICLR 2026 Poster,Property-Driven Protein Inverse Folding with Multi-Objective Preference Alignment,https://github.com/facebookresearch/esm,https://github.com/facebookresearch/esm;https://github.com/dauparas/ProteinMPNN;https://github.com/Qivon7/MoMPNN;https://github.com/Eikor/InstructPLM;https://github.com/meilerlab/HyperMPNN;https://github.com/hnisonoff/discrete_guidance;https://github.com/nrbennet/dl_binder_design;https://github.com/ibmm-unibe-ch/TemBERTure;https://github.com/A4Bio/ProteinInvBench;https://github.com/evo-design/protein-dpo;https://github.com/nrbennet/dl_binder_,live
